brand_names,model name,price,score,processor brand,processor type,processor gen,type of core,no of threads,Ram,ram type,storage type,storage capacity,screen size,screen resolution,OS,Warranty
lenovo,Lenovo IdeaPad Flex 5 82R7006HIN ,74490,69.0,Intel,i7,11.0,4,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
msi,MSI Gaming Katana GF76 11UD-849IN ,76169,69.0,Intel,i7,11.0,8,16.0,16,ram,SSD,512.0,17.32, 1920 x 1080 ,Windows 11 ,1.0
lenovo,Lenovo Yoga Slim 7 Pro 82NC00FRIN ,74517,62.0,Intel,i5,11.0,4,16.0,16,lpddr4x,SSD,512.0,14.0, 2880 x 1800 ,Windows 11 ,1.0
acer,Acer Swift X SFX14-41G ,76000,65.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 10 ,1.0
acer,Acer Swift X SFX14-41G ,79730,66.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
dell,Dell Vostro 3400 ,38499,,Intel,i3,11.0,2,8.0,8,ddr4,Hard Disk,1024.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
gigabyte,Gigabyte Aorus 5 SE4 Gaming ,144990,75.0,Intel,i7,12.0,14,16.0,16,ddr4,Hard Disk,,,,Windows 11 ,2.0
asus,Asus ROG Flow X13 GV301RE-LJ156WS Gaming ,171990,81.0,AMD,ryzen,6.0,8,32.0,32,lpddr5,SSD,1024.0,13.4, 1920 x 1200 ,Windows 11 ,1.0
lenovo,Lenovo Thinkbook 14 Gen 2 20VDA0G9IH ,83399,,Intel,i5,10.0,4,8.0,8,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 10 ,1.0
agb,AGB Octev GA-9009 Gaming ,65000,61.0,Intel,i7,11.0,4,16.0,16,ddr4,SSD,1024.0,15.6, 1920 x 1080 ,Windows 10 ,1.0
lenovo,Lenovo Thinkpad L13 Gen 2 20VHS07500 ,92999,66.0,Intel,i5,11.0,4,16.0,16,ddr4,SSD,512.0,14.0, 1920 x 1080 ,Windows 10 ,3.0
lenovo,Lenovo 15ACH6 82JW00P5IN ,69990,71.0,AMD,ryzen,5.0,6,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1200 ,Windows 11 ,1.0
acer,Acer Nitro 5 AN515-45 NH.QCLSI.004 Gaming ,66918,67.0,AMD,ryzen,5.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
gigabyte,Gigabyte Aero 5 KE4 OLED ,143990,79.0,Intel,i7,12.0,14,16.0,16,ddr4,SSD,1024.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
lenovo,Lenovo V14 G2-ITL 82KA00G8IH ,29500,,Intel,i3,11.0,2,4.0,4,ddr4,SSD,256.0,14.0, 1920 x 1080 ,DOS,1.0
lenovo,Lenovo IdeaPad Slim 5 15ITL05 82SE0061IN ,63990,62.0,Intel,i5,11.0,4,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,1.0
acer,Acer Spin 3 SP314-55N ,84999,,Intel,i5,12.0,10,16.0,16,lpddr4x,SSD,512.0,14.0, 1920 x 1080 ,Windows 11 ,1.0
msi,MSI Crosshair 15 B12UEZ-897IN Gaming ,111990,76.0,Intel,i7,12.0,14,16.0,16,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
msi,MSI Vector GP76 12UGSO-868IN Gaming ,185890,82.0,Intel,i7,12.0,14,16.0,16,ddr5,SSD,1024.0,17.3, 1920 x 1080 ,Windows 11 ,2.0
msi,MSI Creator M16 A12UD-633IN ,105990,79.0,Intel,i7,12.0,14,16.0,16,ddr4,SSD,512.0,16.0, 2560 x 1660 ,Windows 11 ,2.0
msi,MSI Creator Pro M16 A12UIS-634IN Gaming ,119990,80.0,Intel,i7,12.0,14,16.0,16,ddr4,SSD,1024.0,16.0, 2560 x 1660 ,Windows 11 ,2.0
msi,MSI Thin GF63 11SC-1046IN Gaming ,51990,69.0,Intel,i5,11.0,6,8.0,8,ddr4,SSD,512.0,15.6, 1920 x 1080 ,Windows 11 ,2.0
