,model,price,score,processor,no of cores,storage,ram,display,os,warranty
525,Lenovo Ideapad Flex 5 82R700ASIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹59,999",62,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",512 GB SSD,8 GB LPDDR4 RAM,"14 inches, 1920 x 1080 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
526,Avita Pura E NS14A6 Laptop (10th Gen Core i3/ 4GB/ 256GB SSD/ Win10),"₹29,990",,10th Gen Intel Core i3 10110U,"Dual Core, 4 Threads",256 GB SSD,8 GB  RAM,"14 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
527,Lenovo V15 G2-ITL Business Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹48,999",,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
528,Dell Vostro 3400 Laptop AMD (Ryzen 5 3450U/ 8GB/ 256GB SSD/ Win11),"₹36,990",,3rd Gen AMD Ryzen 5  3450U ,Quad Core,256 GB SSD,8 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
529,MSI Gaming Katana GF66 12UE-1002IN Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),"₹1,25,121",78,12th Gen Intel Core i7 12700H,"14 Cores (6P + 8E), 20 Threads",1 TB SSD,16 GB  RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
530,MSI Katana GF66 12UC-636IN Gaming Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹82,500",67,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
531,MSI Katana GF66 12UE-1001IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹94,355",71,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",512 GB SSD,16 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
532,Lenovo V14-IGL ‎82C2S02K00 Laptop (Celeron N4020/ 4GB/  256 SSD/ Win11 Home),"₹21,999",,Intel Celeron  N4020 ,"Dual Core, 2 Threads",256 GB SSD,4 GB DDR4 RAM,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
533,HP 255 G8 6V2R7PA Laptop (AMD Athlon 3050U/ 4GB/ 1TB HDD/ Dos),"₹24,650",,3rd Gen AMD Athlon  3050U,"Dual Core, 2 Threads",1 TB Hard Disk,4 GB DDR4 RAM,"15.6 inches, 1366 x 768 pixels",DOS OS,1 Year Warranty
534,Asus ROG Flow X13 GV301RC-LJ073WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),"₹1,51,990",81,6th Gen AMD Ryzen 9 6900HS​,"Octa Core, 16 Threads",1 TB SSD,32 GB LPDDR5 RAM,"13.4 inches, 1920 x 1200 pixels, Touch Screen",Windows 11 OS,1 Year Warranty
535,HP Victus 15-fb0052AX Gaming Laptop (AMD Ryzen 7 5800H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),"₹78,650",74,5th Gen AMD Ryzen 7 5800H ,"Octa Core, 16 Threads",512 GB SSD,8 GB DDR4 RAM,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
